Td 		ID 		Tj 		Df 		Dd 		Db
103		2205		99		0		4		4
103		2204		99		0		4		4
103		2213		100		1		2		3
104		2182		87		2		15		17
105		78		33		4		68		72
105		100		38		9		58		67
105		240		100		4		1		5
105		77		31		0		74		74
105		65		26		6		73		79
105		80		33		0		72		72
106		2189		88		3		15		18
106		2221		104		0		2		2
106		2218		104		0		2		2
106		179		75		1		30		31
107		2173		86		2		19		21
107		2227		105		0		2		2
107		2230		105		0		2		2
108		2197		94		2		12		14
108		2225		105		0		3		3
108		2226		105		0		3		3
108		2231		105		0		3		3
109		2232		109		0		0		0
109		168		66		14		29		43
111		2238		109		0		2		2
111		2234		109		0		2		2
112		254		107		0		5		5
112		249		106		0		6		6
112		251		106		3		3		6
113		2251		112		0		1		1
113		41		21		1		91		92
114		136		58		12		44		56
115		2199		94		3		18		21
115		2201		94		3		18		21
115		2235		109		0		6		6
115		2244		111		0		4		4
115		2257		114		0		1		1
115		2256		114		0		1		1
116		2259		114		0		2		2
116		2258		114		0		2		2
116		150		60		12		44		56
116		247		106		0		10		10
117		2214		100		3		14		17
117		2247		112		0		5		5
117		2252		112		0		5		5
117		2245		111		0		6		6
117		2250		112		0		5		5
117		123		52		8		57		65
117		74		31		4		82		86
117		270		117		0		0		0
118		2196		92		1		25		26
118		2253		114		2		2		4
118		273		117		0		1		1
118		111		41		1		76		77
121		2202		94		3		24		27
121		2206		99		2		20		22
121		2264		120		0		1		1
122		2210		99		3		20		23
122		2215		100		4		18		22
123		2198		94		3		26		29
123		2272		121		1		1		2
123		2262		120		0		3		3
123		55		24		4		95		99
123		50		24		4		95		99
123		283		120		0		3		3
123		278		119		0		4		4
124		2269		121		0		3		3
124		114		49		1		74		75
125		2273		121		1		3		4
125		288		124		0		1		1
125		291		124		0		1		1
125		172		71		5		49		54
126		2219		104		3		19		22
126		2263		120		0		6		6
127		2222		104		3		20		23
127		2261		120		0		7		7
127		116		49		1		77		78
127		266		108		0		19		19
127		211		88		8		31		39
128		2255		114		5		9		14
128		2283		127		0		1		1
129		2271		121		3		5		8
129		2276		122		1		6		7
129		2275		122		1		6		7
129		2268		121		0		8		8
129		2279		122		0		7		7
129		2286		127		0		2		2
129		2285		127		0		2		2
129		2280		122		0		7		7
129		2274		122		1		6		7
130		2209		99		3		28		31
130		2246		112		4		14		18
130		2282		127		0		3		3
130		2248		112		0		18		18
131		2270		121		0		10		10
131		2260		120		0		11		11
131		185		77		12		42		54
131		300		128		0		3		3
132		2267		121		4		7		11
133		2240		111		5		17		22
133		2278		122		4		7		11
133		2294		132		0		1		1
133		2289		132		0		1		1
133		2290		132		0		1		1
133		280		119		7		7		14
134		2291		132		0		2		2
134		2293		132		0		2		2
134		42		21		1		112		113
134		190		80		11		43		54
134		191		80		11		43		54
134		257		107		14		13		27
